83,"53.961944N 27.623333E
53.958888N 27.631666E
53.961388N 27.639166E
53.963611N 27.643888E
53.978333N 27.654722E
53.985833N 27.657777E
54.006666N 27.658888E
54.011666N 27.660555E
54.018888N 27.665277E
54.025555N 27.672777E
54.036111N 27.693333E
54.041111N 27.699166E
54.046388N 27.702500E
54.051111N 27.706666E
54.049166N 27.700555E
54.046666N 27.699722E
54.041944N 27.696666E
54.037500N 27.691111E
54.026944N 27.670555E
54.019722N 27.662777E
54.012222N 27.657500E
54.006944N 27.655833E
53.986388N 27.654722E
53.965000N 27.641388E
53.963055N 27.637500E
53.961944N 27.623333E",
84,53.893888N 27.582222E,0.4
85,53.904444N 27.530277E,0.25
86,53.844444N 27.628611E,0.3
87,54.078055N 27.678888E,3.5
88,54.884444N 26.825833E,1
89,52.117500N 28.189444E,2
90,55.732777N 27.116944E,3
91,53.946666N 27.501944E,0.8
93,55.410555N 28.566111E,1
94,55.534166N 26.819722E,1
95,55.491111N 28.782777E,1
96,54.502500N 26.296944E,1
97,55.120833N 26.882777E,1
98,54.867500N 26.315833E,1
99,54.418333N 25.879444E,1
100,54.317222N 26.836666E,2.5
101,53.893055N 25.267500E,1
102,54.141944N 25.320000E,1
103,53.015555N 24.075277E,1
104,51.802500N 24.076666E,1
105,52.209722N 31.417777E,1
106,52.213888N 31.100555E,1
107,53.673055N 27.121388E,1
108,52.073333N 29.112222E,1
109,52.424444N 30.923611E,1
110,53.837500N 27.752777E,1
111,"54.427500N 30.104166E
54.349444N 30.180555E
54.451944N 30.488611E
54.530000N 30.411944E
54.427500N 30.104166E",
112,"55.039166N 30.229722E
55.133611N 30.543055E
55.213055N 30.470000E
55.118611N 30.156666E
55.039166N 30.229722E",
113,"53.998055N 29.920555E
53.850833N 30.156944E
53.912500N 30.267500E
54.060000N 30.031388E
53.998055N 29.920555E",
114,"53.932500N 27.854722E
53.773055N 28.091944E
53.832222N 28.206111E
53.991944N 27.969444E
53.932500N 27.854722E",
115,"52.520833N 30.835000E
52.448888N 31.145833E
52.533055N 31.198055E
52.605000N 30.887222E
52.520833N 30.835000E",
116,"52.108333N 23.715555E
52.025833N 24.017222E
52.108055N 24.076666E
52.212500N 23.747777E
52.191666N 23.723888E
52.172500N 23.760277E
52.108333N 23.715555E",
117,"53.701666N 23.972222E
53.498611N 23.983611E
53.502222N 24.134722E
53.704722N 24.124166E
53.701666N 23.972222E",
118,52.328333N 30.371666E,3
119,"53.658076N 23.882085E
53.656381N 23.974804E
53.672088N 23.973673E
53.693418N 23.883459E
53.658087N 23.882067E",
120,55.510277N 28.564722E,4
121,51.888611N 29.324444E,2.6
122,"52.637180N 29.761897E
52.605345N 29.733137E
52.588182N 29.783420E
52.608735N 29.801515E
52.635947N 29.779244E
52.637180N 29.761897E",
123,53.820833N 30.336111E,2
124,52.319444N 30.888333E,1
125,52.183888N 29.885000E,1
126,51.923611N 29.264166E,1
127,52.077222N 27.622777E,1
128,"52.172571N 26.141921E
52.178989N 26.114257E
52.192607N 26.122617E
52.186191N 26.150282E
52.172571N 26.141921E",
129,52.286944N 24.487777E,1
130,52.426388N 30.857777E,2.5
131,55.461111N 28.721666E,0.8
132,"53.198341N 29.192227E
53.181727N 29.208156E
53.177306N 29.195377E
53.193921N 29.179448E
53.198341N 29.192227E",
133,53.908333N 25.320555E,0.6
134,53.640555N 27.915555E,0.3
135,53.492222N 28.159444E,0.2
136,55.153055N 30.153888E,0.5
137,54.835555N 29.150277E,0.3
